New_Date,Order_Id,Country,Device_Type,Category,Customer_Name,Sales_Manager,Sales_Rep, Order_Value_Eur ,  Cost  ,Date,Day,Month,Year
16-12-2020,24-2403756,Austria,PC,Games,"Murray, Reichel and Nolan",Orsa Geekin,Bank Coumbe,"1,39,075.59"," 1,13,708.20 ",12/16/2020,12,16,2020
03-12-2020,85-2223377,Austria,PC,Electronics,Smith Group,Orsa Geekin,Bank Coumbe,"51,090.76"," 40,739.77 ",03-12-2020,3,12,2020
04-03-2020,50-0942872,Belgium,Mobile,Appliances,Armstrong-Little,Lambert Norheny,Collin Mackness,"93,153.98"," 79,702.55 ",04-03-2020,4,3,2020
20-11-2019,61-8262308,Belgium,PC,Games,"Swaniawski, Runolfsson and Green",Lambert Norheny,Collin Mackness,"1,52,370.57"," 1,28,478.86 ",11/20/2019,11,20,2019
03-01-2020,20-4568650,Belgium,PC,Accessories,"Heaney, Gulgowski and Kshlerin",Lambert Norheny,Collin Mackness,"46,311.34"," 40,564.10 ",03-01-2020,3,1,2020
27-11-2020,22-5761330,Belgium,PC,Smartphones,Labadie and Sons,Lambert Norheny,Collin Mackness,"1,22,889.28"," 1,03,042.66 ",11/27/2020,11,27,2020
06-03-2019,39-5658730,Belgium,Mobile,Clothing,"Hermiston, Simonis and Wisoky",Lambert Norheny,Collin Mackness,"76,183.74"," 61,617.41 ",06-03-2019,6,3,2019
07-02-2020,59-2117058,Belgium,Mobile,Appliances,Johns and Sons,Lambert Norheny,Collin Mackness,"1,18,061.05"," 1,01,131.10 ",07-02-2020,7,2,2020
15-02-2019,78-2307905,Bulgaria,PC,Appliances,"Murray, Reichel and Nolan",Charil Alpe,Shermy McGready,"98,289.32"," 84,116.00 ",2/15/2019,2,15,2019
13-10-2019,14-1143584,Bulgaria,Mobile,Appliances,"Rowe, Hermiston and Kessler",Charil Alpe,Bernadine Fullagar,"78,293.94"," 66,236.67 ",10/13/2019,10,13,2019
15-03-2019,02-3333733,Bulgaria,Mobile,Outdoors,Wisoky Inc,Charil Alpe,Shermy McGready,"83,141.47"," 72,000.51 ",3/15/2019,3,15,2019
17-05-2019,61-7979087,Bulgaria,PC,Smartphones,Johns and Sons,Charil Alpe,Shermy McGready,"42,239.66"," 37,039.96 ",5/17/2019,5,17,2019
26-04-2019,15-9091881,Bulgaria,Tablet,Books,Rath-Schroeder,Charil Alpe,Bernadine Fullagar,"37,073.91"," 30,274.55 ",4/26/2019,4,26,2019
14-01-2019,85-4014655,Bulgaria,PC,Outdoors,Johns and Sons,Charil Alpe,Shermy McGready,"1,03,874.10"," 82,112.48 ",1/14/2019,1,14,2019
15-10-2019,81-7970957,Bulgaria,PC,Electronics,Homenick-Marvin,Charil Alpe,Bernadine Fullagar,"1,47,672.87"," 1,29,110.39 ",10/15/2019,10,15,2019
12-05-2019,48-7662634,Bulgaria,PC,Appliances,West-Cummings,Charil Alpe,Bernadine Fullagar,"2,78,731.90"," 2,21,591.86 ",12-05-2019,12,5,2019
14-02-2019,46-5888587,Bulgaria,PC,Games,McGlynn-Bergstrom,Charil Alpe,Bernadine Fullagar,"1,38,153.70"," 1,12,926.83 ",2/14/2019,2,14,2019
20-11-2020,86-3876359,Bulgaria,PC,Books,Hessel-Stiedemann,Charil Alpe,Bernadine Fullagar,"33,210.56"," 29,109.06 ",11/20/2020,11,20,2020
23-09-2020,45-3965395,Bulgaria,PC,Games,"Hermiston, Simonis and Wisoky",Charil Alpe,Bernadine Fullagar,"80,328.16"," 65,836.96 ",9/23/2020,9,23,2020
10-12-2020,20-0021649,Bulgaria,PC,Accessories,Wyman Group,Charil Alpe,Bernadine Fullagar,"98,963.03"," 80,367.88 ",10-12-2020,10,12,2020
17-02-2020,93-2627296,Bulgaria,PC,Beauty,"Rowe, Hermiston and Kessler",Charil Alpe,Bernadine Fullagar,"1,26,582.50"," 1,03,683.73 ",2/17/2020,2,17,2020
24-06-2020,34-0286364,Bulgaria,PC,Appliances,Stehr LLC,Charil Alpe,Shermy McGready,"91,108.56"," 74,089.48 ",6/24/2020,6,24,2020
11-11-2020,87-5540520,Bulgaria,PC,Games,"Hermiston, Simonis and Wisoky",Charil Alpe,Bernadine Fullagar,"1,11,106.06"," 93,195.76 ",11-11-2020,11,11,2020
19-09-2020,86-0928074,Bulgaria,PC,Electronics,Wiza and Sons,Charil Alpe,Shermy McGready,"1,24,611.61"," 1,07,776.58 ",9/19/2020,9,19,2020
28-01-2020,70-0044622,Bulgaria,PC,Games,Armstrong-Little,Charil Alpe,Bernadine Fullagar,"1,22,998.65"," 97,476.43 ",1/28/2020,1,28,2020
06-05-2019,44-9036885,Bulgaria,PC,Books,Altenwerth-Konopelski,Charil Alpe,Bernadine Fullagar,"2,30,669.37"," 1,82,321.07 ",06-05-2019,6,5,2019
02-09-2019,28-0362135,Bulgaria,PC,Electronics,Johns and Sons,Charil Alpe,Shermy McGready,"81,482.69"," 64,721.70 ",02-09-2019,2,9,2019
20-05-2019,58-2923511,Bulgaria,PC,Clothing,Hessel-Stiedemann,Charil Alpe,Shermy McGready,"1,74,271.91"," 1,42,083.89 ",5/20/2019,5,20,2019
21-11-2019,56-6094665,Bulgaria,PC,Books,"Spencer, Rogahn and Muller",Charil Alpe,Shermy McGready,"1,05,277.20"," 90,759.47 ",11/21/2019,11,21,2019
26-02-2020,91-7447818,Bulgaria,Mobile,Clothing,"Christiansen, Donnelly and Bechtelar",Charil Alpe,Shermy McGready,"65,329.65"," 53,237.13 ",2/26/2020,2,26,2020
10-11-2020,06-5115020,Bulgaria,PC,Books,Hessel-Stiedemann,Charil Alpe,Bernadine Fullagar,"95,960.77"," 76,519.12 ",10-11-2020,10,11,2020
27-11-2019,40-8287610,Bulgaria,PC,Beauty,"Jacobson, Marvin and Brown",Charil Alpe,Bernadine Fullagar,"1,58,011.30"," 1,37,390.83 ",11/27/2019,11,27,2019
20-09-2020,57-0945292,Bulgaria,PC,Books,"Dickinson, Hyatt and Berge",Charil Alpe,Shermy McGready,"1,28,235.65"," 1,03,024.52 ",9/20/2020,9,20,2020
05-08-2019,39-5953116,Bulgaria,PC,Smartphones,Smith Group,Charil Alpe,Shermy McGready,"1,52,231.86"," 1,22,303.08 ",05-08-2019,5,8,2019
10-03-2020,06-5566367,Bulgaria,PC,Smartphones,Friesen and Sons,Charil Alpe,Bernadine Fullagar,"1,45,439.65"," 1,23,710.97 ",10-03-2020,10,3,2020
22-05-2020,54-1058965,Bulgaria,PC,Games,Friesen-Rath,Charil Alpe,Shermy McGready,"40,187.99"," 32,508.07 ",5/22/2020,5,22,2020
20-12-2020,63-6848448,Bulgaria,Mobile,Electronics,"Abbott, Roberts and Torp",Charil Alpe,Shermy McGready,"1,49,372.32"," 1,30,611.16 ",12/20/2020,12,20,2020
08-09-2020,37-9761957,Bulgaria,PC,Clothing,"Hamill, Kulas and Roob",Charil Alpe,Shermy McGready,"1,59,294.28"," 1,30,605.38 ",08-09-2020,8,9,2020
20-05-2020,98-9112505,Denmark,PC,Clothing,Wisoky Inc,Modestia Byfford,Case Desorts,"58,948.52"," 49,416.54 ",5/20/2020,5,20,2020
04-02-2020,38-3894304,Denmark,PC,Electronics,Hegmann Group,Modestia Byfford,Case Desorts,"69,017.42"," 55,897.21 ",04-02-2020,4,2,2020
11-10-2019,49-1493117,Denmark,PC,Appliances,Larkin-Collier,Modestia Byfford,Case Desorts,"26,745.94"," 22,600.32 ",11-10-2019,11,10,2019
22-12-2019,65-2343846,Denmark,PC,Smartphones,Gleichner-Green,Modestia Byfford,Case Desorts,"2,48,261.86"," 2,06,727.65 ",12/22/2019,12,22,2019
14-03-2019,60-7777080,Denmark,PC,Books,Wyman Group,Modestia Byfford,Case Desorts,"22,164.96"," 17,938.10 ",3/14/2019,3,14,2019
